rep,training_size,model,RelL2,beta_star
12,100,Additive+Smooth,0.0837,21.9727
12,120,Additive+Smooth,0.0844,21.9727
12,140,Additive+Smooth,0.1130,319.8242
12,160,Additive+Smooth,0.1131,744.1406
12,180,Additive+Smooth,0.0830,75.6836
12,200,Additive+Smooth,0.1123,718.7500
13,20,Additive+Smooth,0.1423,289.0625
13,40,Additive+Smooth,0.1449,5.8594
13,60,Additive+Smooth,0.1322,5.8594
13,80,Additive+Smooth,0.1123,5.8594
13,100,Additive+Smooth,0.0857,21.9727
13,120,Additive+Smooth,0.0851,45.8984
13,140,Additive+Smooth,0.0855,45.8984
13,160,Additive+Smooth,0.1098,5.2734
13,180,Additive+Smooth,0.1097,5.2734
13,200,Additive+Smooth,0.1182,5.8594
14,20,Additive+Smooth,0.1464,866.0156
14,40,Additive+Smooth,0.1240,653.3203
14,60,Additive+Smooth,0.1104,572.2656
14,80,Additive+Smooth,0.1259,563.4766
14,100,Additive+Smooth,0.1177,323.2422
14,120,Additive+Smooth,0.1164,650.8789
14,140,Additive+Smooth,0.1150,786.6211
14,160,Additive+Smooth,0.0874,14.6484
14,180,Additive+Smooth,0.0870,14.6484
14,200,Additive+Smooth,0.0872,14.6484
15,20,Additive+Smooth,0.1139,395.9961
15,40,Additive+Smooth,0.1258,29.2969
15,60,Additive+Smooth,0.0847,29.2969
15,80,Additive+Smooth,0.1001,56.6406
15,100,Additive+Smooth,0.1038,58.1055
15,120,Additive+Smooth,0.1168,385.7422
15,140,Additive+Smooth,0.1133,463.3789
15,160,Additive+Smooth,0.1115,807.6172
15,180,Additive+Smooth,0.1114,798.8281
15,200,Additive+Smooth,0.1154,8.7891
16,20,Additive+Smooth,0.1460,16.9922
16,40,Additive+Smooth,0.1366,10.5469
16,60,Additive+Smooth,0.1202,7.6172
16,80,Additive+Smooth,0.0904,12.2070
16,100,Additive+Smooth,0.0819,17.0898
16,120,Additive+Smooth,0.0893,62.0117
16,140,Additive+Smooth,0.1110,770.9961
16,160,Additive+Smooth,0.0923,25.3906
16,180,Additive+Smooth,0.0939,25.3906
16,200,Additive+Smooth,0.1217,39.0625
17,20,Additive+Smooth,0.2324,39.2578
17,40,Additive+Smooth,0.1280,50.9766
17,60,Additive+Smooth,0.1191,378.9062
17,80,Additive+Smooth,0.1151,373.0469
17,100,Additive+Smooth,0.0884,18.0664
17,120,Additive+Smooth,0.1243,815.4297
17,140,Additive+Smooth,0.1145,812.5000
17,160,Additive+Smooth,0.1142,808.5938
17,180,Additive+Smooth,0.1125,798.3398
17,200,Additive+Smooth,0.1124,797.3633
18,20,Additive+Smooth,0.1349,14.6484
18,40,Additive+Smooth,0.1164,229.4922
18,60,Additive+Smooth,0.1175,706.5430
18,80,Additive+Smooth,0.1116,801.7578
18,100,Additive+Smooth,0.1113,775.8789
18,120,Additive+Smooth,0.1226,317.3828
18,140,Additive+Smooth,0.1191,387.6953
18,160,Additive+Smooth,0.0857,35.1562
