utility,model,regime,size,rep,RelL2,beta_star
nonsmooth,Convex only,perturbed,200,12,0.457138,
nonsmooth,Additive,perturbed,200,12,0.769445,
nonsmooth,Smooth,perturbed,200,3,0.255054,11.718750
nonsmooth,Additive+Smooth,perturbed,200,12,0.744709,0.976562
nonsmooth,Convex only,perturbed,200,13,0.409866,
nonsmooth,Additive,perturbed,200,13,0.779962,
nonsmooth,Smooth,perturbed,200,8,0.247120,3.906250
nonsmooth,Additive+Smooth,perturbed,200,13,0.771388,0.976562
nonsmooth,Convex only,perturbed,200,14,0.385817,
nonsmooth,Additive,perturbed,200,14,0.772201,
nonsmooth,Smooth,perturbed,200,10,0.239501,3.906250
nonsmooth,Smooth,perturbed,200,7,0.223646,5.859375
nonsmooth,Additive+Smooth,perturbed,200,14,0.749671,0.976562
nonsmooth,Additive,perturbed,200,15,0.774493,
nonsmooth,Convex only,perturbed,200,15,0.470257,
nonsmooth,Additive+Smooth,perturbed,200,15,0.759503,0.976562
nonsmooth,Convex only,perturbed,200,16,0.341487,
nonsmooth,Additive,perturbed,200,16,0.784729,
nonsmooth,Smooth,perturbed,200,12,0.230286,3.906250
nonsmooth,Additive+Smooth,perturbed,200,16,0.759680,0.976562
nonsmooth,Smooth,perturbed,200,1,0.416923,226.562500
nonsmooth,Convex only,perturbed,200,17,0.305137,
nonsmooth,Additive,perturbed,200,17,0.772701,
nonsmooth,Additive+Smooth,perturbed,200,17,0.738949,0.976562
nonsmooth,Smooth,perturbed,200,11,0.241668,3.906250
nonsmooth,Convex only,perturbed,200,18,0.322015,
nonsmooth,Additive,perturbed,200,18,0.787699,
nonsmooth,Additive+Smooth,perturbed,200,18,0.758143,0.976562
nonsmooth,Convex only,perturbed,200,19,0.429214,
nonsmooth,Additive,perturbed,200,19,0.771631,
nonsmooth,Smooth,perturbed,200,13,0.241955,3.906250
nonsmooth,Additive+Smooth,perturbed,200,19,0.744942,0.976562
smooth,Convex only,not-perturbed,180,0,0.134427,
smooth,Additive,not-perturbed,180,0,0.107679,
nonsmooth,Smooth,perturbed,200,15,0.234085,3.906250
smooth,Additive+Smooth,not-perturbed,180,0,0.057818,9.765625
smooth,Convex only,not-perturbed,180,1,0.129624,
smooth,Additive,not-perturbed,180,1,0.107432,
nonsmooth,Smooth,perturbed,200,9,0.458542,291.015625
smooth,Additive+Smooth,not-perturbed,180,1,0.056410,9.765625
smooth,Convex only,not-perturbed,180,2,0.126978,
smooth,Additive,not-perturbed,180,2,0.105162,
nonsmooth,Smooth,perturbed,200,14,0.277541,5.859375
smooth,Additive+Smooth,not-perturbed,180,2,0.054701,9.765625
smooth,Convex only,not-perturbed,180,3,0.133917,
smooth,Additive,not-perturbed,180,3,0.107203,
nonsmooth,Smooth,perturbed,200,17,0.243064,3.906250
smooth,Additive+Smooth,not-perturbed,180,3,0.063015,10.742188
smooth,Convex only,not-perturbed,180,4,0.135911,
smooth,Additive,not-perturbed,180,4,0.108140,
