rep,training_size,model,RelL2,beta_star
19,40,Additive,0.6763,
19,60,Additive,0.7119,
19,80,Additive,0.7061,
19,100,Additive,0.7049,
19,120,Additive,0.7192,
19,140,Additive,0.7602,
19,160,Additive,0.7582,
19,180,Additive,0.7669,
19,200,Additive,0.7716,
0,20,Smooth,0.4449,5.8594
0,40,Smooth,0.4001,78.1250
0,60,Smooth,0.2655,3.9062
0,80,Smooth,0.2628,3.9062
0,100,Smooth,0.2789,3.9062
0,120,Smooth,0.2958,3.9062
0,140,Smooth,0.3039,3.9062
0,160,Smooth,0.2867,3.9062
0,180,Smooth,0.2695,3.9062
0,200,Smooth,0.2670,3.9062
1,20,Smooth,0.5006,7.0312
1,40,Smooth,0.3217,7.8125
1,60,Smooth,0.2831,3.9062
1,80,Smooth,0.2746,3.9062
1,100,Smooth,0.2515,3.9062
1,120,Smooth,0.2396,3.9062
1,140,Smooth,0.2422,3.9062
1,160,Smooth,0.4523,226.5625
1,180,Smooth,0.4194,226.5625
1,200,Smooth,0.4169,226.5625
2,20,Smooth,0.4398,35.1562
2,40,Smooth,0.2926,5.8594
2,60,Smooth,0.2463,3.9062
2,80,Smooth,0.2201,3.9062
2,100,Smooth,0.2215,3.9062
2,120,Smooth,0.2161,3.9062
2,140,Smooth,0.2180,3.9062
2,160,Smooth,0.4014,666.0156
2,180,Smooth,0.4064,550.7812
2,200,Smooth,0.2826,70.3125
3,20,Smooth,0.4333,7.8125
3,40,Smooth,0.3260,3.9062
3,60,Smooth,0.2956,3.9062
3,80,Smooth,0.3524,3.9062
3,100,Smooth,0.4227,7.8125
3,120,Smooth,0.3545,7.8125
3,140,Smooth,0.3322,7.8125
3,160,Smooth,0.3389,7.8125
3,180,Smooth,0.2640,11.7188
3,200,Smooth,0.2551,11.7188
4,20,Smooth,0.3611,7.0312
4,40,Smooth,0.3793,41.0156
4,60,Smooth,0.4061,667.9688
4,80,Smooth,0.4869,138.6719
4,100,Smooth,0.2673,3.9062
4,120,Smooth,0.2872,3.9062
4,140,Smooth,0.2696,3.9062
4,160,Smooth,0.2516,3.9062
4,180,Smooth,0.2251,3.9062
4,200,Smooth,0.2742,3.9062
5,20,Smooth,0.4184,1.9531
5,40,Smooth,0.3496,3.9062
5,60,Smooth,0.2685,3.9062
5,80,Smooth,0.2601,3.9062
5,100,Smooth,0.2222,3.9062
5,120,Smooth,0.2074,3.9062
5,140,Smooth,0.2207,3.9062
5,160,Smooth,0.2220,3.9062
5,180,Smooth,0.2082,3.9062
5,200,Smooth,0.1996,3.9062
6,20,Smooth,0.2721,1.9531
6,40,Smooth,0.3127,3.9062
6,60,Smooth,0.3164,3.9062
6,80,Smooth,0.2976,3.9062
6,100,Smooth,0.2756,3.9062
6,120,Smooth,0.2646,3.9062
6,140,Smooth,0.2559,3.9062
6,160,Smooth,0.2432,3.9062
6,180,Smooth,0.2239,3.9062
6,200,Smooth,0.2391,3.9062
7,20,Smooth,0.3610,35.1562
7,40,Smooth,0.2686,1.9531
7,60,Smooth,0.2822,3.9062
7,80,Smooth,0.2964,3.9062
7,100,Smooth,0.2389,5.8594
7,120,Smooth,0.2487,5.8594
7,140,Smooth,0.2297,5.8594
7,160,Smooth,0.2113,5.8594
7,180,Smooth,0.2078,5.8594
7,200,Smooth,0.2236,5.8594
8,20,Smooth,0.3475,3.9062
8,40,Smooth,0.4062,269.5312
8,60,Smooth,0.4121,269.5312
8,80,Smooth,0.3725,269.5312
8,100,Smooth,0.2620,3.9062
8,120,Smooth,0.2397,3.9062
8,140,Smooth,0.2485,3.9062
8,160,Smooth,0.2620,3.9062
8,180,Smooth,0.2505,3.9062
8,200,Smooth,0.2471,3.9062
9,20,Smooth,0.4640,13.6719
9,40,Smooth,0.2411,1.9531
9,60,Smooth,0.2200,1.9531
9,80,Smooth,0.4805,291.0156
9,100,Smooth,0.4342,291.0156
9,120,Smooth,0.4385,291.0156
9,140,Smooth,0.4443,291.0156
9,160,Smooth,0.4296,291.0156
9,180,Smooth,0.4276,291.0156
9,200,Smooth,0.4585,291.0156
10,20,Smooth,0.3688,4.6875
10,40,Smooth,0.2628,3.9062
10,60,Smooth,0.3051,11.7188
10,80,Smooth,0.2364,3.9062
10,100,Smooth,0.3176,42.9688
10,120,Smooth,0.2885,42.9688
10,140,Smooth,0.2740,42.9688
10,160,Smooth,0.2181,3.9062
10,180,Smooth,0.2303,3.9062
10,200,Smooth,0.2395,3.9062
11,20,Smooth,0.4235,17.5781
11,40,Smooth,0.3020,5.8594
11,60,Smooth,0.3759,99.6094
11,80,Smooth,0.3353,99.6094
11,100,Smooth,0.2803,5.8594
11,120,Smooth,0.2543,5.8594
11,140,Smooth,0.2611,3.9062
11,160,Smooth,0.2441,3.9062
11,180,Smooth,0.2314,3.9062
11,200,Smooth,0.2417,3.9062
12,20,Smooth,0.5338,21.4844
12,40,Smooth,0.3129,3.9062
12,60,Smooth,0.2343,1.9531
12,80,Smooth,0.2835,3.9062
12,100,Smooth,0.2514,3.9062
12,120,Smooth,0.2423,3.9062
12,140,Smooth,0.2328,3.9062
12,160,Smooth,0.2387,3.9062
12,180,Smooth,0.2325,3.9062
12,200,Smooth,0.2303,3.9062
13,20,Smooth,0.3644,1.9531
13,40,Smooth,0.3079,3.9062
13,60,Smooth,0.2357,3.9062
13,80,Smooth,0.2653,3.9062
13,100,Smooth,0.2641,3.9062
13,120,Smooth,0.2860,15.6250
13,140,Smooth,0.3924,156.2500
13,160,Smooth,0.2724,3.9062
13,180,Smooth,0.2605,3.9062
13,200,Smooth,0.2420,3.9062
14,20,Smooth,0.4884,11.7188
14,40,Smooth,0.3063,3.9062
14,60,Smooth,0.2898,3.9062
14,80,Smooth,0.3383,9.7656
14,100,Smooth,0.4029,226.5625
14,120,Smooth,0.4554,226.5625
14,140,Smooth,0.4470,226.5625
14,160,Smooth,0.4216,226.5625
14,180,Smooth,0.2781,5.8594
14,200,Smooth,0.2775,5.8594
15,20,Smooth,0.4408,273.4375
15,40,Smooth,0.3341,3.9062
15,60,Smooth,0.3283,3.9062
15,80,Smooth,0.2734,3.9062
15,100,Smooth,0.2759,3.9062
15,120,Smooth,0.2661,3.9062
15,140,Smooth,0.2662,11.7188
15,160,Smooth,0.2681,11.7188
15,180,Smooth,0.2316,3.9062
15,200,Smooth,0.2341,3.9062
16,20,Smooth,0.5714,56.6406
16,40,Smooth,0.3222,3.9062
16,60,Smooth,0.3899,242.1875
16,80,Smooth,0.3209,9.7656
16,100,Smooth,0.3841,736.3281
16,120,Smooth,0.3731,736.3281
16,140,Smooth,0.3700,736.3281
16,160,Smooth,0.2811,27.3438
16,180,Smooth,0.2616,7.8125
16,200,Smooth,0.2466,7.8125
17,20,Smooth,0.5184,11.7188
17,40,Smooth,0.3144,3.9062
17,60,Smooth,0.3028,3.9062
17,80,Smooth,0.2978,3.9062
17,100,Smooth,0.2868,3.9062
