rep,training_size,model,RelL2,beta_star
2,120,Additive+Smooth,0.0199,337.4023
2,140,Additive+Smooth,0.0180,623.5352
2,160,Additive+Smooth,0.0171,624.0234
2,180,Additive+Smooth,0.0166,550.7812
2,200,Additive+Smooth,0.0150,617.6758
3,20,Additive+Smooth,0.1279,56.8359
3,40,Additive+Smooth,0.0775,333.0078
3,60,Additive+Smooth,0.0536,450.1953
3,80,Additive+Smooth,0.0341,571.2891
3,100,Additive+Smooth,0.0291,166.0156
3,120,Additive+Smooth,0.0219,404.2969
3,140,Additive+Smooth,0.0162,596.6797
3,160,Additive+Smooth,0.0178,747.5586
3,180,Additive+Smooth,0.0180,653.3203
3,200,Additive+Smooth,0.0191,139.1602
4,20,Additive+Smooth,0.1163,15.2344
4,40,Additive+Smooth,0.0313,24.4141
4,60,Additive+Smooth,0.0437,681.6406
4,80,Additive+Smooth,0.0416,594.2383
4,100,Additive+Smooth,0.0408,469.2383
4,120,Additive+Smooth,0.0342,701.1719
4,140,Additive+Smooth,0.0327,643.5547
4,160,Additive+Smooth,0.0231,682.1289
4,180,Additive+Smooth,0.0202,716.3086
4,200,Additive+Smooth,0.0137,663.0859
5,20,Additive+Smooth,0.0812,22.2656
5,40,Additive+Smooth,0.0494,134.7656
5,60,Additive+Smooth,0.0362,331.0547
5,80,Additive+Smooth,0.0279,667.4805
5,100,Additive+Smooth,0.0245,703.1250
5,120,Additive+Smooth,0.0233,611.3281
5,140,Additive+Smooth,0.0215,648.4375
5,160,Additive+Smooth,0.0222,702.6367
5,180,Additive+Smooth,0.0210,666.0156
5,200,Additive+Smooth,0.0161,567.3828
6,20,Additive+Smooth,0.0988,56.8359
6,40,Additive+Smooth,0.0724,84.9609
6,60,Additive+Smooth,0.0532,216.7969
6,80,Additive+Smooth,0.0460,452.6367
6,100,Additive+Smooth,0.0453,515.6250
6,120,Additive+Smooth,0.0283,531.2500
6,140,Additive+Smooth,0.0217,542.4805
6,160,Additive+Smooth,0.0196,643.0664
6,180,Additive+Smooth,0.0192,493.1641
6,200,Additive+Smooth,0.0223,655.7617
7,20,Additive+Smooth,0.0998,19.9219
7,40,Additive+Smooth,0.0616,73.7305
7,60,Additive+Smooth,0.0583,305.6641
7,80,Additive+Smooth,0.0342,161.6211
7,100,Additive+Smooth,0.0283,611.3281
7,120,Additive+Smooth,0.0180,685.5469
7,140,Additive+Smooth,0.0173,500.4883
7,160,Additive+Smooth,0.0169,515.1367
7,180,Additive+Smooth,0.0167,712.4023
