rep,training_size,model,RelL2,beta_star
16,200,Additive,0.0251,
17,20,Additive,0.1325,
17,40,Additive,0.0623,
17,60,Additive,0.0495,
17,80,Additive,0.0375,
17,100,Additive,0.0303,
17,120,Additive,0.0276,
17,140,Additive,0.0248,
17,160,Additive,0.0217,
17,180,Additive,0.0180,
17,200,Additive,0.0106,
18,20,Additive,0.0944,
18,40,Additive,0.0643,
18,60,Additive,0.0494,
18,80,Additive,0.0251,
18,100,Additive,0.0196,
18,120,Additive,0.0178,
18,140,Additive,0.0167,
18,160,Additive,0.0158,
18,180,Additive,0.0136,
18,200,Additive,0.0131,
19,20,Additive,0.1069,
19,40,Additive,0.0670,
19,60,Additive,0.0520,
19,80,Additive,0.0328,
19,100,Additive,0.0302,
19,120,Additive,0.0188,
19,140,Additive,0.0143,
19,160,Additive,0.0130,
19,180,Additive,0.0113,
19,200,Additive,0.0106,
0,20,Smooth,0.1059,7.0312
0,40,Smooth,0.0942,7.0312
0,60,Smooth,0.0856,7.0312
0,80,Smooth,0.0870,8.2031
0,100,Smooth,0.0834,8.2031
0,120,Smooth,0.0805,8.2031
0,140,Smooth,0.0777,8.2031
0,160,Smooth,0.0791,8.7891
0,180,Smooth,0.0770,8.7891
0,200,Smooth,0.0753,8.7891
1,20,Smooth,0.0993,7.0312
1,40,Smooth,0.0934,7.6172
1,60,Smooth,0.0916,8.2031
1,80,Smooth,0.0859,8.2031
1,100,Smooth,0.0861,8.7891
1,120,Smooth,0.0855,8.7891
1,140,Smooth,0.0813,8.7891
1,160,Smooth,0.0786,8.7891
1,180,Smooth,0.0768,8.7891
1,200,Smooth,0.0770,8.7891
2,20,Smooth,0.1131,7.6172
2,40,Smooth,0.1010,8.2031
2,60,Smooth,0.0920,8.2031
2,80,Smooth,0.0859,8.2031
2,100,Smooth,0.0788,8.2031
2,120,Smooth,0.0724,8.2031
2,140,Smooth,0.0693,8.2031
2,160,Smooth,0.0690,8.2031
2,180,Smooth,0.0663,8.2031
2,200,Smooth,0.0731,8.7891
3,20,Smooth,0.1230,6.4453
3,40,Smooth,0.1104,7.6172
3,60,Smooth,0.1133,8.2031
3,80,Smooth,0.1035,8.2031
3,100,Smooth,0.0892,8.2031
3,120,Smooth,0.0863,8.2031
3,140,Smooth,0.0847,8.2031
3,160,Smooth,0.0804,8.2031
3,180,Smooth,0.0723,8.2031
3,200,Smooth,0.0683,8.2031
4,20,Smooth,0.2694,6.4453
4,40,Smooth,0.1256,7.0312
4,60,Smooth,0.0540,7.0312
4,80,Smooth,0.0763,7.6172
4,100,Smooth,0.0690,7.6172
4,120,Smooth,0.0740,8.2031
4,140,Smooth,0.0719,8.2031
4,160,Smooth,0.0688,8.2031
4,180,Smooth,0.0683,8.2031
4,200,Smooth,0.0661,8.2031
5,20,Smooth,0.1046,7.6172
5,40,Smooth,0.0837,7.6172
5,60,Smooth,0.0897,8.2031
5,80,Smooth,0.0870,8.2031
5,100,Smooth,0.0805,8.2031
5,120,Smooth,0.0781,8.2031
5,140,Smooth,0.0761,8.2031
5,160,Smooth,0.0746,8.2031
5,180,Smooth,0.0772,8.7891
5,200,Smooth,0.0742,8.7891
6,20,Smooth,0.1380,7.6172
6,40,Smooth,0.0978,7.6172
6,60,Smooth,0.1014,8.2031
6,80,Smooth,0.0898,8.2031
6,100,Smooth,0.0808,8.2031
6,120,Smooth,0.0786,8.2031
6,140,Smooth,0.0750,8.2031
6,160,Smooth,0.0733,8.2031
6,180,Smooth,0.0718,8.2031
6,200,Smooth,0.0700,8.2031
7,20,Smooth,0.1011,7.0312
7,40,Smooth,0.0984,7.6172
7,60,Smooth,0.0849,7.6172
7,80,Smooth,0.0805,7.6172
7,100,Smooth,0.0823,8.2031
7,120,Smooth,0.0859,8.7891
7,140,Smooth,0.0828,8.7891
7,160,Smooth,0.0786,8.7891
7,180,Smooth,0.0758,8.7891
7,200,Smooth,0.0746,8.7891
8,20,Smooth,0.0939,7.0312
8,40,Smooth,0.0829,7.0312
8,60,Smooth,0.0929,8.2031
8,80,Smooth,0.0845,8.2031
8,100,Smooth,0.0871,8.7891
8,120,Smooth,0.0840,8.7891
8,140,Smooth,0.0804,8.7891
8,160,Smooth,0.0778,8.7891
8,180,Smooth,0.0766,8.7891
8,200,Smooth,0.0738,8.7891
9,20,Smooth,0.1578,6.4453
9,40,Smooth,0.0884,7.6172
9,60,Smooth,0.0917,8.2031
9,80,Smooth,0.0848,8.2031
9,100,Smooth,0.0791,8.2031
9,120,Smooth,0.0761,8.2031
9,140,Smooth,0.0727,8.2031
9,160,Smooth,0.0699,8.2031
9,180,Smooth,0.0762,8.7891
9,200,Smooth,0.0753,8.7891
10,20,Smooth,0.1475,7.6172
10,40,Smooth,0.0944,7.6172
10,60,Smooth,0.0857,7.6172
10,80,Smooth,0.0850,8.2031
10,100,Smooth,0.0832,8.2031
10,120,Smooth,0.0760,8.2031
10,140,Smooth,0.0735,8.2031
10,160,Smooth,0.0709,8.2031
10,180,Smooth,0.0676,8.2031
10,200,Smooth,0.0675,8.2031
11,20,Smooth,0.0924,7.0312
11,40,Smooth,0.0904,7.6172
11,60,Smooth,0.0933,8.2031
11,80,Smooth,0.0870,8.2031
11,100,Smooth,0.0799,8.2031
11,120,Smooth,0.0748,8.2031
11,140,Smooth,0.0724,8.2031
11,160,Smooth,0.0699,8.2031
11,180,Smooth,0.0683,8.2031
11,200,Smooth,0.0666,8.2031
12,20,Smooth,0.1609,6.4453
12,40,Smooth,0.0742,7.0312
12,60,Smooth,0.0797,7.6172
12,80,Smooth,0.0832,8.2031
12,100,Smooth,0.0801,8.2031
12,120,Smooth,0.0865,8.7891
12,140,Smooth,0.0829,8.7891
12,160,Smooth,0.0820,8.7891
12,180,Smooth,0.0766,8.7891
12,200,Smooth,0.0760,8.7891
13,20,Smooth,0.0994,7.0312
13,40,Smooth,0.0928,7.6172
13,60,Smooth,0.0852,7.6172
13,80,Smooth,0.0767,7.6172
13,100,Smooth,0.0705,7.6172
13,120,Smooth,0.0702,7.6172
13,140,Smooth,0.0669,7.6172
13,160,Smooth,0.0750,8.7891
13,180,Smooth,0.0732,8.7891
13,200,Smooth,0.0729,8.7891
14,20,Smooth,0.0996,7.0312
14,40,Smooth,0.1020,7.6172
14,60,Smooth,0.0990,8.2031
14,80,Smooth,0.0943,8.2031
14,100,Smooth,0.0891,8.2031
14,120,Smooth,0.0860,8.2031
14,140,Smooth,0.0778,8.2031
14,160,Smooth,0.0744,8.2031
14,180,Smooth,0.0744,8.2031
14,200,Smooth,0.0795,8.7891
15,20,Smooth,0.1207,7.0312
15,40,Smooth,0.0867,7.0312
15,60,Smooth,0.0942,7.6172
15,80,Smooth,0.0867,7.6172
15,100,Smooth,0.0765,7.6172
15,120,Smooth,0.0752,7.6172
15,140,Smooth,0.0734,7.6172
