rep,training_size,model,RelL2,beta_star
10,160,Smooth,0.1369,15.2344
10,180,Smooth,0.1120,15.2344
10,200,Smooth,0.1114,15.8203
11,20,Smooth,0.1782,9.3750
11,40,Smooth,0.1635,10.5469
11,60,Smooth,0.1643,12.8906
11,80,Smooth,0.1473,12.8906
11,100,Smooth,0.1193,12.8906
11,120,Smooth,0.1146,12.8906
11,140,Smooth,0.1275,16.9922
11,160,Smooth,0.1244,16.9922
11,180,Smooth,0.1157,16.9922
11,200,Smooth,0.1128,16.9922
12,20,Smooth,0.2787,9.3750
12,40,Smooth,0.1690,9.3750
12,60,Smooth,0.1185,9.9609
12,80,Smooth,0.1255,12.3047
12,100,Smooth,0.1184,12.3047
12,120,Smooth,0.1109,12.3047
12,140,Smooth,0.1086,12.8906
12,160,Smooth,0.1032,12.8906
12,180,Smooth,0.1093,15.8203
12,200,Smooth,0.1046,15.8203
13,20,Smooth,0.0978,6.4453
13,40,Smooth,0.1227,9.3750
13,60,Smooth,0.1390,13.4766
13,80,Smooth,0.1313,13.4766
13,100,Smooth,0.1244,13.4766
13,120,Smooth,0.1160,13.4766
13,140,Smooth,0.1180,14.6484
13,160,Smooth,0.1158,14.6484
13,180,Smooth,0.1149,14.6484
13,200,Smooth,0.1110,14.6484
14,20,Smooth,0.2059,8.2031
14,40,Smooth,0.1856,9.3750
14,60,Smooth,0.1801,9.3750
14,80,Smooth,0.1182,12.3047
14,100,Smooth,0.0930,12.8906
14,120,Smooth,0.1223,15.4688
14,140,Smooth,0.1200,15.4688
14,160,Smooth,0.1127,15.2344
14,180,Smooth,0.1106,15.2344
14,200,Smooth,0.1120,15.8203
15,20,Smooth,0.1434,7.6172
15,40,Smooth,0.1462,9.3750
15,60,Smooth,0.1512,12.3047
15,80,Smooth,0.1393,12.3047
15,100,Smooth,0.1324,12.3047
15,120,Smooth,0.1311,12.3047
15,140,Smooth,0.1252,12.3047
15,160,Smooth,0.1200,12.3047
15,180,Smooth,0.1000,12.3047
15,200,Smooth,0.1071,14.6484
16,20,Smooth,0.2889,7.6172
16,40,Smooth,0.1917,12.8906
16,60,Smooth,0.1767,12.8906
16,80,Smooth,0.1240,12.8906
16,100,Smooth,0.1146,12.8906
16,120,Smooth,0.1072,12.8906
16,140,Smooth,0.1061,12.8906
16,160,Smooth,0.1044,12.8906
16,180,Smooth,0.1098,14.6484
16,200,Smooth,0.1006,14.6484
17,20,Smooth,0.3119,8.2031
17,40,Smooth,0.2614,9.3750
17,60,Smooth,0.2030,15.8203
17,80,Smooth,0.1887,15.8203
17,100,Smooth,0.1720,15.8203
17,120,Smooth,0.1609,15.8203
17,140,Smooth,0.1466,15.8203
17,160,Smooth,0.1421,15.8203
17,180,Smooth,0.1388,15.8203
17,200,Smooth,0.1377,15.8203
18,20,Smooth,0.2468,8.2031
18,40,Smooth,0.1750,9.9609
18,60,Smooth,0.1540,9.9609
18,80,Smooth,0.1393,10.5469
18,100,Smooth,0.1322,10.5469
18,120,Smooth,0.1501,13.4766
18,140,Smooth,0.1369,15.2344
18,160,Smooth,0.1316,15.2344
18,180,Smooth,0.1259,15.2344
18,200,Smooth,0.1232,22.8516
19,20,Smooth,0.1280,8.7891
19,40,Smooth,0.1159,9.3750
19,60,Smooth,0.1087,9.3750
19,80,Smooth,0.1090,9.9609
19,100,Smooth,0.1062,10.5469
19,120,Smooth,0.1088,11.7188
19,140,Smooth,0.1084,12.8906
19,160,Smooth,0.1067,13.4766
19,180,Smooth,0.1042,13.4766
19,200,Smooth,0.1017,13.4766
0,20,Additive+Smooth,0.1601,77.9297
0,40,Additive+Smooth,0.1456,90.3320
0,60,Additive+Smooth,0.0888,45.8984
0,80,Additive+Smooth,0.0909,56.1523
0,100,Additive+Smooth,0.1174,786.1328
0,120,Additive+Smooth,0.1215,739.2578
0,140,Additive+Smooth,0.1122,752.9297
0,160,Additive+Smooth,0.1085,785.1562
0,180,Additive+Smooth,0.1053,201.6602
0,200,Additive+Smooth,0.1085,204.1016
1,20,Additive+Smooth,0.1300,20.5078
1,40,Additive+Smooth,0.0854,25.3906
1,60,Additive+Smooth,0.1162,690.9180
1,80,Additive+Smooth,0.1166,612.7930
1,100,Additive+Smooth,0.1074,784.1797
1,120,Additive+Smooth,0.1121,799.8047
1,140,Additive+Smooth,0.1160,800.7812
1,160,Additive+Smooth,0.1067,815.4297
1,180,Additive+Smooth,0.1061,812.9883
1,200,Additive+Smooth,0.1081,815.9180
2,20,Additive+Smooth,0.0941,9.7656
2,40,Additive+Smooth,0.1131,686.5234
2,60,Additive+Smooth,0.1091,644.0430
2,80,Additive+Smooth,0.0844,45.8984
2,100,Additive+Smooth,0.0842,53.7109
2,120,Additive+Smooth,0.1061,793.9453
2,140,Additive+Smooth,0.1023,816.8945
2,160,Additive+Smooth,0.1026,806.1523
2,180,Additive+Smooth,0.1016,819.8242
2,200,Additive+Smooth,0.1075,767.5781
3,20,Additive+Smooth,0.1540,211.9141
3,40,Additive+Smooth,0.0932,91.7969
3,60,Additive+Smooth,0.0992,794.9219
3,80,Additive+Smooth,0.0859,25.3906
3,100,Additive+Smooth,0.0868,25.3906
3,120,Additive+Smooth,0.0885,25.3906
3,140,Additive+Smooth,0.0878,12.6953
3,160,Additive+Smooth,0.0909,12.6953
3,180,Additive+Smooth,0.1229,9.3750
3,200,Additive+Smooth,0.1219,9.3750
4,20,Additive+Smooth,0.0909,437.9883
4,40,Additive+Smooth,0.0969,51.2695
4,60,Additive+Smooth,0.1024,803.2227
4,80,Additive+Smooth,0.1002,807.6172
4,100,Additive+Smooth,0.1018,811.0352
4,120,Additive+Smooth,0.1143,203.1250
4,140,Additive+Smooth,0.1149,205.0781
4,160,Additive+Smooth,0.1123,205.5664
4,180,Additive+Smooth,,
4,200,Additive+Smooth,0.1104,202.6367
5,20,Additive+Smooth,0.1696,63.8672
5,40,Additive+Smooth,0.1338,611.8164
5,60,Additive+Smooth,0.0812,92.2852
5,80,Additive+Smooth,0.1188,744.1406
5,100,Additive+Smooth,0.1205,734.8633
5,120,Additive+Smooth,0.1251,749.5117
5,140,Additive+Smooth,0.1240,708.0078
5,160,Additive+Smooth,0.1227,761.2305
5,180,Additive+Smooth,0.1086,785.6445
5,200,Additive+Smooth,0.1046,785.6445
6,20,Additive+Smooth,0.1747,41.0156
6,40,Additive+Smooth,0.1076,723.6328
6,60,Additive+Smooth,0.1094,721.6797
6,80,Additive+Smooth,0.1077,746.0938
6,100,Additive+Smooth,0.0927,33.2031
6,120,Additive+Smooth,0.1058,723.6328
6,140,Additive+Smooth,0.1034,812.5000
6,160,Additive+Smooth,0.1085,801.7578
