rep,training_size,model,RelL2,beta_star
1,120,Smooth,0.3377,830.0781
1,140,Smooth,0.3238,830.0781
1,160,Smooth,0.2690,830.0781
1,180,Smooth,0.2673,830.0781
1,200,Smooth,0.2686,830.0781
2,20,Smooth,0.4294,27.3438
2,40,Smooth,0.3651,578.1250
2,60,Smooth,0.3697,888.6719
2,80,Smooth,0.3386,839.8438
2,100,Smooth,0.3034,962.8906
2,120,Smooth,0.2860,962.8906
2,140,Smooth,0.2876,906.2500
2,160,Smooth,0.2900,912.1094
2,180,Smooth,0.2774,912.1094
2,200,Smooth,0.2705,908.2031
3,20,Smooth,0.4970,7.8125
3,40,Smooth,0.3758,35.1562
3,60,Smooth,0.4074,687.5000
3,80,Smooth,0.3756,785.1562
3,100,Smooth,0.3751,908.2031
3,120,Smooth,0.3368,962.8906
3,140,Smooth,0.2997,962.8906
3,160,Smooth,0.2934,962.8906
3,180,Smooth,0.2827,500.0000
3,200,Smooth,0.2805,507.8125
4,20,Smooth,0.3008,3.9062
4,40,Smooth,0.4527,535.1562
4,60,Smooth,0.3967,886.7188
4,80,Smooth,0.3489,750.0000
4,100,Smooth,0.3665,707.0312
4,120,Smooth,0.3354,962.8906
4,140,Smooth,0.3157,611.3281
4,160,Smooth,0.2936,611.3281
4,180,Smooth,0.2980,611.3281
4,200,Smooth,0.2838,611.3281
5,20,Smooth,0.5497,132.8125
5,40,Smooth,0.3878,890.6250
5,60,Smooth,0.3647,957.0312
5,80,Smooth,0.3474,396.4844
5,100,Smooth,0.3185,910.1562
5,120,Smooth,0.3187,906.2500
5,140,Smooth,0.3051,912.1094
5,160,Smooth,0.2896,914.0625
5,180,Smooth,0.2730,916.0156
5,200,Smooth,0.2637,892.5781
6,20,Smooth,0.4391,17.5781
6,40,Smooth,0.3770,261.7188
6,60,Smooth,0.4067,720.7031
6,80,Smooth,0.3951,912.1094
6,100,Smooth,0.3617,917.9688
6,120,Smooth,0.3326,917.9688
6,140,Smooth,0.3018,917.9688
6,160,Smooth,0.2822,917.9688
6,180,Smooth,0.2789,919.9219
6,200,Smooth,0.2624,925.7812
7,20,Smooth,0.3201,25.3906
7,40,Smooth,0.3511,431.6406
7,60,Smooth,0.3689,863.2812
7,80,Smooth,0.3704,687.5000
7,100,Smooth,0.3542,708.9844
7,120,Smooth,0.3311,765.6250
7,140,Smooth,0.3279,837.8906
7,160,Smooth,0.3140,712.8906
7,180,Smooth,0.3091,736.3281
7,200,Smooth,0.2903,955.0781
8,20,Smooth,0.3622,3.9062
8,40,Smooth,0.4052,673.8281
8,60,Smooth,0.3897,841.7969
8,80,Smooth,0.3591,900.3906
8,100,Smooth,0.3149,898.4375
8,120,Smooth,0.2851,900.3906
8,140,Smooth,0.2877,900.3906
8,160,Smooth,0.2776,898.4375
8,180,Smooth,0.2634,900.3906
8,200,Smooth,0.2626,900.3906
9,20,Smooth,0.5063,21.4844
9,40,Smooth,0.3702,421.8750
9,60,Smooth,0.3762,558.5938
9,80,Smooth,0.3303,763.6719
9,100,Smooth,0.3030,763.6719
9,120,Smooth,0.2880,750.0000
9,140,Smooth,0.2853,765.6250
9,160,Smooth,0.2825,785.1562
9,180,Smooth,0.2726,785.1562
9,200,Smooth,0.2694,785.1562
10,20,Smooth,0.3368,5.8594
10,40,Smooth,0.3994,820.3125
10,60,Smooth,0.3653,927.7344
10,80,Smooth,0.3804,949.2188
10,100,Smooth,0.3516,962.8906
10,120,Smooth,0.2925,625.0000
10,140,Smooth,0.2950,640.6250
10,160,Smooth,0.2858,640.6250
10,180,Smooth,0.2768,640.6250
10,200,Smooth,0.2732,640.6250
11,20,Smooth,0.4217,11.7188
11,40,Smooth,0.2871,25.3906
11,60,Smooth,0.3449,644.5312
11,80,Smooth,0.2758,498.0469
11,100,Smooth,0.3394,960.9375
11,120,Smooth,0.3109,953.1250
11,140,Smooth,0.2849,720.7031
11,160,Smooth,0.2717,722.6562
11,180,Smooth,0.2781,722.6562
11,200,Smooth,0.2598,720.7031
12,20,Smooth,0.4975,11.7188
12,40,Smooth,0.2998,269.5312
12,60,Smooth,0.3877,402.3438
12,80,Smooth,0.3132,406.2500
12,100,Smooth,0.3234,501.9531
12,120,Smooth,0.3108,484.3750
12,140,Smooth,0.3012,572.2656
12,160,Smooth,0.2913,613.2812
12,180,Smooth,0.2705,613.2812
12,200,Smooth,0.2545,677.7344
13,20,Smooth,0.5278,13.6719
13,40,Smooth,0.3332,320.3125
13,60,Smooth,0.2801,773.4375
13,80,Smooth,0.3383,904.2969
13,100,Smooth,0.3125,640.6250
13,120,Smooth,0.3041,634.7656
13,140,Smooth,0.3003,636.7188
13,160,Smooth,0.3003,640.6250
13,180,Smooth,0.2860,640.6250
13,200,Smooth,0.2878,640.6250
14,20,Smooth,0.4898,13.6719
14,40,Smooth,0.3625,37.1094
14,60,Smooth,0.3631,287.1094
14,80,Smooth,0.3473,810.5469
14,100,Smooth,0.3111,962.8906
14,120,Smooth,0.3186,960.9375
14,140,Smooth,0.2920,966.7969
14,160,Smooth,0.2590,964.8438
14,180,Smooth,0.2724,962.8906
14,200,Smooth,0.2603,964.8438
15,20,Smooth,0.5624,285.1562
15,40,Smooth,0.2844,300.7812
15,60,Smooth,0.2846,634.7656
15,80,Smooth,0.3156,750.0000
15,100,Smooth,0.3907,833.9844
15,120,Smooth,0.3400,837.8906
15,140,Smooth,0.3224,564.4531
15,160,Smooth,0.3046,562.5000
15,180,Smooth,0.2747,914.0625
15,200,Smooth,0.2712,914.0625
16,20,Smooth,0.6034,70.3125
16,40,Smooth,0.3753,265.6250
16,60,Smooth,0.3038,369.1406
16,80,Smooth,0.3544,824.2188
16,100,Smooth,0.3133,951.1719
16,120,Smooth,0.2957,955.0781
16,140,Smooth,0.2974,957.0312
16,160,Smooth,0.2883,763.6719
16,180,Smooth,0.2771,753.9062
16,200,Smooth,0.2771,763.6719
17,20,Smooth,0.5337,392.5781
17,40,Smooth,0.3660,697.2656
17,60,Smooth,0.3835,701.1719
17,80,Smooth,0.3799,978.5156
17,100,Smooth,0.3577,980.4688
17,120,Smooth,0.3228,980.4688
17,140,Smooth,0.3221,755.8594
17,160,Smooth,0.3019,755.8594
17,180,Smooth,0.2907,914.0625
